iso_code,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,InfectRate
SVN,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,50.07239772727275,4.5,0.0710941964431737
SWE,24.718000000000004,41.0,19.985,13.433,46949.282999999996,133.982,4.79,18.8,18.9,50.07239772727275,2.22,0.3286178109902993
SWZ,79.492,21.5,3.1630000000000003,1.845,7738.975,333.436,3.94,1.7,16.5,24.096999999999998,2.1,0.020514341075916855
SYC,208.354,36.2,8.606,5.586,26382.287,242.648,10.55,7.1,35.7,50.07239772727275,3.6,0.011185682326621925
TCD,11.833,16.7,2.4859999999999998,1.446,1768.1529999999998,280.995,6.1,0.1,7.7,5.818,0.1,0.003944999162600872
TGO,143.366,19.4,2.839,1.525,1429.8129999999999,280.033,6.15,0.9,14.2,10.475,0.7,0.004505518172639136
THA,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,90.67,2.1,0.004355302232330216
TJK,64.281,23.3,3.466,2.155,2896.913,427.69800000000004,7.11,0.1,7.7,72.704,4.8,0.026746652893870414
TLS,87.176,18.0,3.556,1.8969999999999998,6570.102,335.346,6.86,6.3,78.1,28.178,5.9,0.0018203303596214318
TTO,266.88599999999997,36.2,10.014,5.819,28763.071,228.467,10.97,0.1,7.7,89.443,3.0,0.008288727830332599
TUN,74.22800000000001,32.7,8.001,5.075,10849.296999999999,318.991,8.52,1.1,65.8,78.687,2.3,0.008867365033712063
TUR,104.914,31.6,8.152999999999999,5.061,25129.341,171.285,12.13,14.1,41.1,50.07239772727275,2.81,0.1845953548430883
TZA,64.699,17.7,3.108,1.874,2683.304,217.28799999999998,5.75,3.3,26.7,47.953,0.7,0.000852107987092757
UGA,213.75900000000001,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,21.221999999999998,0.5,0.0006821013969961305
UKR,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,50.07239772727275,8.8,0.04705746880802082
URY,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,160.708,6.93,14.0,19.9,50.07239772727275,2.8,0.021993668471932307
USA,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,151.089,10.79,19.1,24.6,50.07239772727275,2.77,0.49022870805018065
UZB,76.134,28.2,4.468999999999999,2.873,6253.104,724.4169999999999,7.57,1.3,24.7,50.07239772727275,4.0,0.009196515279615744
VCT,281.78700000000003,31.8,7.724,4.832,10727.146,252.675,11.62,0.1,7.7,50.07239772727275,2.6,0.016223962793045325
VEN,36.253,29.0,6.614,3.915,16745.022,204.85,6.47,0.1,7.7,50.07239772727275,0.8,0.0033197422009180423
VNM,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,85.84700000000001,2.6,0.0003328587596143659
YEM,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,495.00300000000004,5.35,7.6,29.2,49.542,0.7,0.0007107900068825931
ZAF,46.754,27.3,5.343999999999999,3.053,12294.876,200.38,5.52,8.1,33.2,43.993,2.32,0.03598629475714267
ZMB,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,0.005004363587467245
ZWE,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,36.791,1.7,0.00037677639135279343
